symbol,ts,open,high,low,close,volume,count
ETH,2026-06-03 12:00:00+00:00,1877.3,1879.0,1835.3,1835.9,118232.395,50963
ETH,2026-06-03 16:00:00+00:00,1836.2,1843.1,1794.1,1802.6,130319.5055,59430
ETH,2026-06-03 20:00:00+00:00,1802.5,1850.8,1770.0,1812.3,252124.3612,88044
ETH,2026-06-04 00:00:00+00:00,1812.3,1819.9,1716.7,1808.6,321015.7257,111210
ETH,2026-06-04 04:00:00+00:00,1808.7,1817.8,1772.5,1776.6,82243.9879,51453
ETH,2026-06-04 08:00:00+00:00,1776.6,1782.5,1729.4,1750.6,119689.3609,65445
ETH,2026-06-04 12:00:00+00:00,1750.6,1793.6,1743.5,1776.3,126579.4407,72901
ETH,2026-06-04 16:00:00+00:00,1776.3,1786.3,1753.5,1776.1,89782.2381,42707
ETH,2026-06-04 20:00:00+00:00,1776.0,1782.5,1752.0,1770.3,88414.1347,40541
ETH,2026-06-05 00:00:00+00:00,1770.1,1773.9,1721.6,1728.5,93271.8996,43827
ETH,2026-06-05 04:00:00+00:00,1728.7,1746.8,1623.2,1678.3,286549.311,97974
ETH,2026-06-05 08:00:00+00:00,1678.2,1689.2,1658.4,1662.3,118478.2155,49695
ETH,2026-06-05 12:00:00+00:00,1662.1,1676.9,1571.0,1582.4,332092.376,116683
ETH,2026-06-05 16:00:00+00:00,1582.3,1612.1,1546.2,1590.8,226872.3272,55928
HYPER,2025-09-30 00:00:00+00:00,0.24084,0.24116,0.23059,0.23361,87815.0,345
HYPER,2025-09-30 04:00:00+00:00,0.23377,0.24134,0.23322,0.24064,139217.0,398
HYPER,2025-09-30 08:00:00+00:00,0.24047,0.25273,0.23991,0.24725,436734.0,565
HYPER,2025-09-30 12:00:00+00:00,0.24697,0.24959,0.23649,0.2381,239669.0,443
HYPER,2025-09-30 16:00:00+00:00,0.23804,0.23889,0.2339,0.23889,151102.0,366
HYPER,2025-09-30 20:00:00+00:00,0.23898,0.23969,0.23528,0.23744,171622.0,385
HYPER,2025-10-01 00:00:00+00:00,0.23777,0.23977,0.23347,0.23398,72396.0,328
HYPER,2025-10-01 04:00:00+00:00,0.23395,0.25624,0.23395,0.25416,394380.0,455
HYPER,2025-10-01 08:00:00+00:00,0.25448,0.25627,0.25071,0.25438,695754.0,402
HYPER,2025-10-01 12:00:00+00:00,0.25383,0.25885,0.25199,0.25766,235762.0,327
HYPER,2025-10-01 16:00:00+00:00,0.25771,0.26222,0.25503,0.25877,64730.0,388
HYPER,2025-10-01 20:00:00+00:00,0.25893,0.26388,0.25875,0.26211,114955.0,333
HYPER,2025-10-02 00:00:00+00:00,0.26191,0.27007,0.26191,0.26575,137324.0,348
HYPER,2025-10-02 04:00:00+00:00,0.26575,0.26858,0.26337,0.26477,75430.0,281
HYPER,2025-10-02 08:00:00+00:00,0.26488,0.26957,0.26452,0.26819,76285.0,309
HYPER,2025-10-02 12:00:00+00:00,0.26701,0.2699,0.26244,0.2667,124006.0,354
HYPER,2025-10-02 16:00:00+00:00,0.26649,0.28244,0.26649,0.28191,193880.0,329
HYPER,2025-10-02 20:00:00+00:00,0.28212,0.29198,0.28099,0.2857,413855.0,520
HYPER,2025-10-03 00:00:00+00:00,0.28594,0.28641,0.27148,0.27405,236722.0,390
HYPER,2025-10-03 04:00:00+00:00,0.27439,0.28575,0.27282,0.28575,158180.0,338
HYPER,2025-10-03 08:00:00+00:00,0.28523,0.29822,0.28124,0.28738,544289.0,574
HYPER,2025-10-03 12:00:00+00:00,0.28737,0.29157,0.28011,0.28672,168101.0,392
HYPER,2025-10-03 16:00:00+00:00,0.28777,0.28827,0.2789,0.28359,504298.0,409
HYPER,2025-10-03 20:00:00+00:00,0.28327,0.29747,0.28316,0.29161,352170.0,541
HYPER,2025-10-04 00:00:00+00:00,0.29184,0.29234,0.28135,0.28279,115521.0,373
HYPER,2025-10-04 04:00:00+00:00,0.28258,0.28388,0.27883,0.28039,76917.0,309
HYPER,2025-10-04 08:00:00+00:00,0.28009,0.28015,0.27204,0.27387,48980.0,299
HYPER,2025-10-04 12:00:00+00:00,0.27349,0.27888,0.27135,0.27233,43884.0,307
HYPER,2025-10-04 16:00:00+00:00,0.27242,0.27477,0.27164,0.27412,62815.0,306
HYPER,2025-10-04 20:00:00+00:00,0.27439,0.27595,0.27388,0.2751,24956.0,249
HYPER,2025-10-05 00:00:00+00:00,0.2753,0.27823,0.27225,0.2759,53097.0,316
HYPER,2025-10-05 04:00:00+00:00,0.27603,0.28084,0.276,0.27956,45396.0,337
HYPER,2025-10-05 08:00:00+00:00,0.27955,0.28185,0.2704,0.2738,128794.0,309
HYPER,2025-10-05 12:00:00+00:00,0.27329,0.27527,0.27098,0.27349,68851.0,327
HYPER,2025-10-05 16:00:00+00:00,0.27349,0.2739,0.2661,0.2661,62410.0,292
HYPER,2025-10-05 20:00:00+00:00,0.26609,0.26942,0.26444,0.26491,27240.0,273
HYPER,2025-10-06 00:00:00+00:00,0.2647,0.26907,0.26193,0.26582,43371.0,272
HYPER,2025-10-06 04:00:00+00:00,0.2661,0.26865,0.26324,0.26613,47126.0,284
HYPER,2025-10-06 08:00:00+00:00,0.26638,0.26843,0.26553,0.26673,47064.0,305
HYPER,2025-10-06 12:00:00+00:00,0.26707,0.27827,0.26678,0.27787,111216.0,275
HYPER,2025-10-06 16:00:00+00:00,0.27828,0.31581,0.27732,0.31223,598580.0,597
HYPER,2025-10-06 20:00:00+00:00,0.3113,0.31494,0.28919,0.29156,1277571.0,1016
HYPER,2025-10-07 00:00:00+00:00,0.29098,0.32645,0.28369,0.28369,3079834.0,2480
HYPER,2025-10-07 04:00:00+00:00,0.28378,0.28541,0.27833,0.27904,172060.0,345
HYPER,2025-10-07 08:00:00+00:00,0.27752,0.28562,0.27603,0.28507,60789.0,285
HYPER,2025-10-07 12:00:00+00:00,0.28475,0.28519,0.2649,0.26598,291679.0,427
HYPER,2025-10-07 16:00:00+00:00,0.26585,0.2727,0.26337,0.27088,66407.0,238
